ROI_index,ROI_name,Area,x,y,z,Hemisphere,Cortical
1,Left-Thalamus-Proper,Thalamus-Proper,-11.0834051217793,-14.8840159761923,9.10815255697392,Left,SC
2,Left-Caudate,Caudate,-11.6611255411255,11.2344588744589,12.7374891774892,Left,SC
3,Left-Putamen,Putamen,-23.7605837496713,4.30305022350776,2.10386536944517,Left,SC
4,Left-Pallidum,Pallidum,-17.9834353619013,-0.672308246308966,0.915736406193734,Left,SC
5,Left-Hippocampus,Hippocampus,-23.9002923026957,-19.8480025982462,-11.4303345241962,Left,SC
6,Left-Amygdala,Amygdala,-21.3053398058252,-1.14174757281553,-17.8592233009709,Left,SC
7,Left-Accumbens-area,Accumbens-area,-6.9906103286385,14.7230046948357,-5.30399061032864,Left,SC
8,Right-Thalamus-Proper,Thalamus-Proper,13.884060490179,-14.9503737180601,9.1376673040153,Right,SC
9,Right-Caudate,Caudate,16.379277262552,11.4128557723057,12.3431403901503,Right,SC
10,Right-Putamen,Putamen,28.171581769437,4.26930294906166,2.1916890080429,Right,SC
11,Right-Pallidum,Pallidum,22.2799855491329,-1.6228323699422,1.52817919075145,Right,SC
12,Right-Hippocampus,Hippocampus,28.8066752660432,-19.5743308610126,-11.6410835214447,Right,SC
13,Right-Amygdala,Amygdala,25.7426433915212,-1.80897755610973,-17.3546134663342,Right,SC
14,Right-Accumbens-area,Accumbens-area,12.583850931677,15.628364389234,-5.24430641821946,Right,SC
15,l.bankssts,bankssts,-51.5250069851914,-39.3450684548757,10.1098072087175,Left,C
16,l.caudalanteriorcingulate,caudalanteriorcingulate,-2.53215579710145,22.6915760869565,30.705615942029,Left,C
17,l.caudalmiddlefrontal,caudalmiddlefrontal,-34.0843214756258,15.7094354920442,50.0280733758995,Left,C
18,l.cuneus,cuneus,-4.94639956686519,-77.1437466161343,21.9729290741743,Left,C
19,l.entorhinal,entorhinal,-21.1928137651822,-3.19331983805668,-30.7322874493927,Left,C
