"names","x","y","z","delta_coef","theta_coef","alpha_coef","beta_coef","gamma_coef"
"Left-Caudate",-11.6611255411255,11.2344588744589,12.7374891774892,-0.000610537931379204,-0.000392606512836008,0.000503426969153286,0.000147585230216082,0.00031619417507423
"Left-Putamen",-23.7605837496713,4.30305022350776,2.10386536944517,-0.000414856020074535,-0.000407976093073337,0.000427806658742367,0.00015805796114705,0.000227114921376451
"Left-Hippocampus",-23.9002923026957,-19.8480025982462,-11.4303345241962,-0.000524495638719062,-0.000126916275291188,0.000356639556599492,0.000274648618990305,-0.0000313864719084687
"Left-Amygdala",-21.3053398058252,-1.14174757281553,-17.8592233009709,-0.000527515984651664,-0.000124902031023412,0.000513386122753886,0.000267416845288479,-0.000218542581912102
"Right-Caudate",16.379277262552,11.4128557723057,12.3431403901503,-0.000610537931379204,-0.000392606512836008,0.000503426969153286,0.000147585230216082,0.00031619417507423
"Right-Putamen",28.171581769437,4.26930294906166,2.1916890080429,-0.000414856020074535,-0.000407976093073337,0.000427806658742367,0.00015805796114705,0.000227114921376451
"Right-Hippocampus",28.8066752660432,-19.5743308610126,-11.6410835214447,-0.000524495638719062,-0.000126916275291188,0.000356639556599492,0.000274648618990305,-0.0000313864719084687
"Right-Amygdala",25.7426433915212,-1.80897755610973,-17.3546134663342,-0.000527515984651664,-0.000124902031023412,0.000513386122753886,0.000267416845288479,-0.000218542581912102
"l.bankssts",-51.5250069851914,-39.3450684548757,10.1098072087175,-0.00125968035591823,-0.000422272231950036,0.00057590968497464,0.000691353900673756,0.000405638651388295
"l.caudalanteriorcingulate",-2.53215579710145,22.6915760869565,30.705615942029,-0.000145825869754807,-0.00019273906439105,0.000178223322413352,0.0000854083477950589,0.0000299051480050791
"l.caudalmiddlefrontal",-34.0843214756258,15.7094354920442,50.0280733758995,-0.000852835974732815,-0.000156493374981179,0.000319780328009384,0.000352324727771802,0.000223591802960012
"l.cuneus",-4.94639956686519,-77.1437466161343,21.9729290741743,-0.00178814566240968,-0.000535561731344862,0.000537924036521178,0.000871738322894066,0.000735097607648828
"l.entorhinal",-21.1928137651822,-3.19331983805668,-30.7322874493927,-0.000504200321400322,-0.000209002210758155,0.000329696171091044,0.000258564920730063,0.0000692403534455766
"l.fusiform",-32.7818946366233,-39.3155347508727,-20.7168359251031,-0.000768357314285454,-0.000271903193937493,0.000405260182944889,0.000405974649183813,0.00019751207240221
"l.inferiorparietal",-41.177792,-66.197504,34.58912,-0.00127534920049126,-0.000361748634971337,0.000538140442208575,0.00059650986301224,0.000390854857003457
"l.inferiortemporal",-49.882657869934,-30.3149320048472,-22.3672411471657,-0.000760372337717436,-0.000271671296219205,0.000496200687917747,0.000370318522691198,0.0000402951700326797
"l.isthmuscingulate",-4.82927653820149,-42.7227856659905,22.3187964841109,-0.000647765797614828,-0.000262401898677131,0.00024983413320573,0.000387721485534104,0.000275425087239953
