"names","delta_coef","theta_coef","alpha_coef","beta_coef","gamma_coef","x","y","z"
"Left-Caudate",-0.000442199845427112,6.4460782742471e-05,0.000562286296650154,-0.000288904010854196,0.000194230920028662,-11.6611255411255,11.2344588744589,12.7374891774892
"Left-Putamen",-0.000406563644822579,-0.000355305776084108,0.000140791583508627,0.00011464700928651,0.000452893335809721,-23.7605837496713,4.30305022350776,2.10386536944517
"Left-Hippocampus",-0.000740994323219491,-0.000119060616856485,0.000353826665794516,0.00033136795279678,0.00012244732459054,-23.9002923026957,-19.8480025982462,-11.4303345241962
"Left-Amygdala",-0.000440948749815983,3.70854104852077e-05,0.000419181018934539,0.000226949730596388,-0.000259995415360073,-21.3053398058252,-1.14174757281553,-17.8592233009709
"Right-Caudate",-0.00124374299329127,-0.000815926267357239,0.000581116427974121,0.000977344983962201,0.000358170913489448,16.379277262552,11.4128557723057,12.3431403901503
"Right-Putamen",-0.000260612827471831,-0.000419950805525336,0.00075500404115929,0.000117601167941552,-0.000343435491460175,28.171581769437,4.26930294906166,2.1916890080429
"Right-Hippocampus",-0.000415187129689046,-0.000100947522472829,0.000330705060536023,0.000276315557405568,-0.000131719931662666,28.8066752660432,-19.5743308610126,-11.6410835214447
"Right-Amygdala",-0.000316158153819515,-0.00012703999743972,0.000575686145446199,0.000187556183664265,-0.000511529862526338,25.7426433915212,-1.80897755610973,-17.3546134663342
"l.bankssts_1",-0.0013508802814299,-0.000269523040938842,0.000524841533000777,0.000631586521550171,0.000472189516676604,-51.515210717276,-39.3586380128384,10.115266536422
"l.caudalanteriorcingulate_1",0.000213509190344338,0.000155033175286358,6.7841514424786e-05,-0.000345702988006209,-0.000280565340167729,-2.55103884372177,22.6594399277326,30.7321589882566
"l.caudalmiddlefrontal_1",-0.000833723070317806,0.000108534328583494,0.000440639935758518,0.000305378468346312,-0.000175520661896907,-34.073321197411,15.6714199029126,50.0223503236246
"l.cuneus_1",-0.00122643894038646,-0.000399891005226643,0.000501836384721883,0.00044325517021061,0.00024167131359475,-4.94639956686519,-77.1437466161343,21.9729290741743
"l.entorhinal_1",-0.000485110393229002,-7.99243862724049e-05,0.000282032627315991,0.000164837443167957,6.47890355347422e-05,-21.1928137651822,-3.19331983805668,-30.7322874493927
"l.fusiform_1",-0.000451113137752087,0.000137504035207799,0.000330468533413695,0.000214005761219107,-0.000272288241767703,-35.2246790299572,-60.2362696148359,-13.2016761768902
"l.inferiorparietal_1",-0.000771410399180956,-0.000185278818945191,0.000281571554408217,0.000581813499574375,0.000189506703343572,-41.28888179933,-73.1633434359547,23.7071303238156
"l.inferiortemporal_1",-0.000951385630042011,-0.00034891016982898,0.00062238754016915,0.000492858777056973,7.07472511244153e-05,-45.6314457450174,-8.07386902878836,-34.8000632711167
